City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
445,Port Macquarie,AU,73.36,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
448,Timbo,BR,71.4,broken clouds,-26.8233,-49.2717,Timbó Park Hotel
449,Lilongwe,MW,70.0,broken clouds,-13.9669,33.7873,Spendwise furnished apartments.
458,Fomboni,KM,81.48,overcast clouds,-12.28,43.7425,Auberge les abou
459,Menongue,AO,74.08,light rain,-14.6585,17.691,Ritz Lauca
460,Caraballeda,VE,75.36,broken clouds,10.6112,-66.8522,Hotel 15 Letras
461,Dong Hoi,VN,73.51,overcast clouds,17.4833,106.6,Nam Long Hotel
465,Kamina,CD,74.88,broken clouds,-8.7386,24.9906,Guest House Florvia
473,Sangmelima,CM,79.02,scattered clouds,2.9333,11.9833,gamestar hotel
474,Camocim,BR,75.7,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
476,Pringsewu,ID,87.55,overcast clouds,-5.3582,104.9744,Urban Style by Front One
477,Kinablangan,PH,81.64,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
479,Kiama,AU,71.08,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
481,Faanui,PF,82.06,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
483,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
488,Bonthe,SL,76.8,few clouds,7.5264,-12.505,Bonthe Holiday Village
489,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,Derogongan Residence
491,Tezu,IN,70.2,broken clouds,27.9167,96.1667,Circuit House
492,Uige,AO,78.03,overcast clouds,-7.6087,15.0613,Hotel Catraio
495,Mount Gambier,AU,80.51,clear sky,-37.8333,140.7667,The Commodore
511,Santa Maria,BR,72.28,overcast clouds,-29.6842,-53.8069,Hotel Morotin
513,Grajau,BR,70.21,broken clouds,-5.8194,-46.1386,Hotel Confiança
517,Alta Floresta,BR,70.23,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
518,La Paz Centro,NI,76.24,clear sky,12.34,-86.6753,Quinta Momotombo
521,Marsabit,KE,75.27,clear sky,2.3284,37.9899,Chicho Hotel
525,Cap Malheureux,MU,84.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
527,Afua,BR,74.41,broken clouds,-0.1567,-50.3867,Hotel Dias
532,Puerto Princesa,PH,82.09,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
533,Victoria,HK,72.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
543,Pangkalanbuun,ID,78.26,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
545,Humaita,BR,73.2,moderate rain,-7.5061,-63.0208,Corrêa Hotel
546,Panzhihua,CN,72.45,few clouds,26.5851,101.7128,Electric Power Hotel
547,Gushikawa,JP,70.83,overcast clouds,26.3544,127.8686,Kirari Guest House
549,Blackwater,AU,89.38,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
550,Dakar,SN,74.28,dust,14.6937,-17.4441,Redface Studios Meublés
556,Yeppoon,AU,82.18,clear sky,-23.1333,150.7333,Villa Mar Colina
562,Kochinda,IN,78.76,scattered clouds,21.7333,84.35,Shristi Lodge
566,Inverell,AU,78.12,scattered clouds,-29.7833,151.1167,Sapphire City Motor Inn
567,Makakilo City,US,72.68,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
568,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
573,Saint-Pierre,RE,85.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
576,Ewa Beach,US,74.08,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
577,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
579,Nabire,ID,81.05,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
584,Lazaro Cardenas,MX,72.54,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
587,Quatre Cocos,MU,84.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
593,Rio Grande,BR,72.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
599,Gemena,CD,89.62,clear sky,3.25,19.7667,Hôtel Goshen
602,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
606,Mogadishu,SO,84.07,clear sky,2.0371,45.3438,Hotel Juba
620,Yabelo,ET,74.52,few clouds,4.8833,38.0833,Asnakech W/michael
624,Malibu,US,73.87,clear sky,34.005,-118.8101,Malibu Country Inn
631,Santa Cruz,BO,74.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
634,Paoua,CF,81.27,clear sky,7.2427,16.4406,Quartier Paoua Elien
635,Tual,ID,83.57,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
640,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
647,Saquarema,BR,71.78,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
652,Kaoma,ZM,73.17,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
656,Kieta,PG,78.78,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
657,Kalmunai,LK,78.57,overcast clouds,7.4167,81.8167,VS Villa
659,General Delgado,PY,80.62,broken clouds,-27.1667,-56.5167,Andreea Patricia Estate
660,Sao Jose Da Coroa Grande,BR,76.8,light rain,-8.8978,-35.1478,Crôa Mares Hotel
