City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Henties Bay,NA,2/12/2022 7:55,-22.116,14.2845,71.85,81,21,6.35,few clouds
83,Kunming,CN,2/12/2022 7:55,25.0389,102.7183,62.53,20,20,26.84,few clouds
84,Kenai,US,2/12/2022 7:55,60.5544,-151.2583,27.03,88,100,14.97,light snow
85,Waingapu,ID,2/12/2022 7:55,-9.6567,120.2641,81.32,79,95,4.47,overcast clouds
86,Plettenberg Bay,ZA,2/12/2022 7:55,-34.0527,23.3716,75.87,56,2,7.45,clear sky
87,Kununurra,AU,2/12/2022 7:55,-15.7667,128.7333,94.98,46,29,4.61,scattered clouds
88,Tuktoyaktuk,CA,2/12/2022 7:55,69.4541,-133.0374,-19.91,98,88,1.61,overcast clouds
89,Lompoc,US,2/12/2022 7:55,34.6391,-120.4579,66.56,58,0,12.66,clear sky
90,Midyat,TR,2/12/2022 7:55,37.4247,41.3393,49.28,50,0,10.02,clear sky
91,Yellowknife,CA,2/12/2022 7:52,62.456,-114.3525,-17.88,83,20,2.3,few clouds
92,Ternate,ID,2/12/2022 7:55,0.8,127.4,82.65,77,31,7.29,scattered clouds
93,Avera,US,2/12/2022 7:55,33.194,-82.5271,53.71,68,64,6.26,broken clouds
94,Hermanus,ZA,2/12/2022 7:55,-34.4187,19.2345,78.8,58,99,6.76,overcast clouds
95,Jiuquan,CN,2/12/2022 7:55,39.7432,98.5174,35.01,37,100,18.3,overcast clouds
96,Manzil Salim,TN,2/12/2022 7:55,35.8567,8.4765,39.2,73,100,1.83,overcast clouds
97,Bambous Virieux,MU,2/12/2022 7:55,-20.3428,57.7575,84.22,78,40,13.8,scattered clouds
98,Yuksekova,TR,2/12/2022 7:55,37.5736,44.2872,30.83,68,1,4.32,clear sky
99,Aksu,CN,2/12/2022 7:55,41.1231,80.2644,38.75,27,15,3.4,few clouds
100,Sorland,NO,2/12/2022 7:55,67.667,12.6934,33.19,60,93,23.17,light snow
101,Khandbari,NP,2/12/2022 7:55,27.3747,87.2039,65.43,39,1,5.17,clear sky
102,Zemio,CF,2/12/2022 7:55,5.0314,25.1361,88.77,14,23,8.23,few clouds
103,Ketchikan,US,2/12/2022 7:55,55.3422,-131.6461,39.18,88,100,6.08,overcast clouds
104,Abrau-Dyurso,RU,2/12/2022 7:55,44.69,37.59,45.86,81,76,15.37,broken clouds
105,Tuatapere,NZ,2/12/2022 7:55,-46.1333,167.6833,53.82,67,94,9.28,overcast clouds
106,Port Hardy,CA,2/12/2022 7:55,50.6996,-127.4199,40.75,100,0,2.3,mist
107,Pompeu,BR,2/12/2022 7:55,-19.2244,-44.9353,64.11,99,100,5.5,overcast clouds
108,Saskylakh,RU,2/12/2022 7:55,71.9167,114.0833,2.5,78,91,14.56,overcast clouds
109,Kapaa,US,2/12/2022 7:55,22.0752,-159.319,71.92,66,75,6.91,broken clouds
110,Karema,TZ,2/12/2022 7:55,-6.8205,30.4389,71.35,88,100,5.48,light rain
111,Thompson,CA,2/12/2022 7:55,55.7435,-97.8558,-20.04,76,75,4.61,broken clouds
112,Lagoa Da Prata,BR,2/12/2022 7:55,-20.0225,-45.5436,65.88,97,100,4.34,overcast clouds
113,Butaritari,KI,2/12/2022 7:55,3.0707,172.7902,82.8,72,88,15.7,overcast clouds
114,Filadelfia,US,2/12/2022 7:52,39.9523,-75.1638,55.29,49,75,11.5,broken clouds
115,Ambilobe,MG,2/12/2022 7:55,-13.2,49.05,84.85,71,6,3.31,light rain
116,Ola,RU,2/12/2022 7:55,59.5833,151.2833,-2.87,83,97,4.36,overcast clouds
